,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,BAC200612C00015500,2020-06-08 12:00PM EDT,15.5,13.1,0.0,0.0,0.0,-,1,0,0.00%
1,BAC200612C00016000,2020-06-05 10:35AM EDT,16.0,12.0,0.0,0.0,0.0,-,10,0,0.00%
2,BAC200612C00016500,2020-05-19 2:09PM EDT,16.5,6.23,0.0,0.0,0.0,-,1,0,0.00%
3,BAC200612C00017000,2020-05-29 9:56AM EDT,17.0,7.49,0.0,0.0,0.0,-,7,0,0.00%
4,BAC200612C00018000,2020-06-08 11:08AM EDT,18.0,10.52,0.0,0.0,0.0,-,9,0,0.00%
5,BAC200612C00018500,2020-06-05 11:59AM EDT,18.5,9.95,0.0,0.0,0.0,-,2,0,0.00%
6,BAC200612C00019000,2020-06-09 1:22PM EDT,19.0,9.3,0.0,0.0,0.0,-,1,0,0.00%
7,BAC200612C00019500,2020-06-08 10:23AM EDT,19.5,9.0,0.0,0.0,0.0,-,13,0,0.00%
8,BAC200612C00020000,2020-06-08 12:37PM EDT,20.0,8.55,0.0,0.0,0.0,-,19,0,0.00%
9,BAC200612C00020500,2020-06-03 9:43AM EDT,20.5,4.95,0.0,0.0,0.0,-,4,0,0.00%
10,BAC200612C00021000,2020-06-08 9:55AM EDT,21.0,7.8,0.0,0.0,0.0,-,1,0,0.00%
11,BAC200612C00021500,2020-06-09 2:23PM EDT,21.5,6.82,0.0,0.0,0.0,-,10,0,0.00%
12,BAC200612C00022000,2020-06-08 9:45AM EDT,22.0,6.78,0.0,0.0,0.0,-,2,0,0.00%
13,BAC200612C00022500,2020-06-09 1:53PM EDT,22.5,5.97,0.0,0.0,0.0,-,1,0,0.00%
14,BAC200612C00023000,2020-06-09 11:10AM EDT,23.0,4.95,0.0,0.0,0.0,-,1,0,0.00%
15,BAC200612C00023500,2020-06-09 3:10PM EDT,23.5,4.95,0.0,0.0,0.0,-,32,0,0.00%
16,BAC200612C00024000,2020-06-09 3:38PM EDT,24.0,4.45,0.0,0.0,0.0,-,134,0,0.00%
17,BAC200612C00024500,2020-06-09 3:43PM EDT,24.5,4.0,0.0,0.0,0.0,-,270,0,0.00%
18,BAC200612C00025000,2020-06-09 3:54PM EDT,25.0,3.23,0.0,0.0,0.0,-,214,0,0.00%
19,BAC200612C00025500,2020-06-09 3:31PM EDT,25.5,3.05,0.0,0.0,0.0,-,737,0,0.00%
20,BAC200612C00026000,2020-06-09 3:22PM EDT,26.0,2.54,0.0,0.0,0.0,-,596,0,0.00%
21,BAC200612C00026500,2020-06-09 3:55PM EDT,26.5,1.86,0.0,0.0,0.0,-,204,0,0.00%
22,BAC200612C00027000,2020-06-09 3:54PM EDT,27.0,1.39,0.0,0.0,0.0,-,918,0,0.00%
23,BAC200612C00027500,2020-06-09 3:55PM EDT,27.5,1.06,0.0,0.0,0.0,-,1851,0,0.00%
24,BAC200612C00028000,2020-06-09 3:58PM EDT,28.0,0.73,0.0,0.0,0.0,-,11643,0,0.00%
25,BAC200612C00028500,2020-06-09 3:59PM EDT,28.5,0.52,0.0,0.0,0.0,-,7191,0,3.13%
26,BAC200612C00029000,2020-06-09 3:59PM EDT,29.0,0.36,0.0,0.0,0.0,-,8104,0,12.50%
27,BAC200612C00029500,2020-06-09 3:59PM EDT,29.5,0.25,0.0,0.0,0.0,-,3249,0,12.50%
28,BAC200612C00030000,2020-06-09 3:59PM EDT,30.0,0.17,0.0,0.0,0.0,-,27325,0,25.00%
29,BAC200612C00030500,2020-06-09 3:59PM EDT,30.5,0.13,0.0,0.0,0.0,-,2130,0,25.00%
30,BAC200612C00031000,2020-06-09 3:59PM EDT,31.0,0.08,0.0,0.0,0.0,-,897,0,25.00%
31,BAC200612C00031500,2020-06-09 3:55PM EDT,31.5,0.06,0.0,0.0,0.0,-,291,0,25.00%
32,BAC200612C00032000,2020-06-09 3:22PM EDT,32.0,0.06,0.0,0.0,0.0,-,325,0,25.00%
33,BAC200612C00033000,2020-06-09 3:57PM EDT,33.0,0.02,0.0,0.0,0.0,-,1050,0,50.00%
