,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,GE210115C00001000,2020-06-16 3:49PM EDT,1.0,6.45,6.25,6.4,0.0,-,2,485,134.38%
1,GE210115C00002000,2020-06-16 10:12AM EDT,2.0,5.65,5.3,5.4,0.0,-,2,277,99.22%
2,GE210115C00003000,2020-06-16 10:01AM EDT,3.0,4.8,4.35,4.5,0.0,-,10,620,86.72%
3,GE210115C00004000,2020-06-16 12:30PM EDT,4.0,3.7,3.5,3.6,0.0,-,22,1932,77.34%
4,GE210115C00005000,2020-06-17 11:02AM EDT,5.0,2.73,2.73,2.75,-0.13,-4.55%,12,18056,69.53%
5,GE210115C00006000,2020-06-17 10:59AM EDT,6.0,2.06,2.03,2.07,-0.08,-3.74%,59,7400,64.84%
6,GE210115C00007000,2020-06-17 10:58AM EDT,7.0,1.5,1.48,1.5,-0.09,-5.66%,640,19908,61.82%
7,GE210115C00008000,2020-06-17 11:07AM EDT,8.0,1.06,1.05,1.07,-0.07,-6.19%,1072,66223,59.86%
8,GE210115C00009000,2020-06-17 11:02AM EDT,9.0,0.73,0.72,0.74,-0.07,-8.75%,260,42148,57.91%
9,GE210115C00010000,2020-06-17 11:04AM EDT,10.0,0.5,0.49,0.5,-0.05,-9.09%,1210,118217,56.54%
10,GE210115C00011000,2020-06-17 10:55AM EDT,11.0,0.34,0.33,0.34,-0.02,-5.56%,130,2720,55.66%
11,GE210115C00012000,2020-06-17 10:57AM EDT,12.0,0.23,0.22,0.23,-0.02,-8.00%,266,196107,54.98%
12,GE210115C00013000,2020-06-17 10:23AM EDT,13.0,0.16,0.16,0.17,-0.03,-15.79%,12,9143,55.66%
13,GE210115C00015000,2020-06-17 10:59AM EDT,15.0,0.09,0.09,0.1,0.01,+12.50%,128,230732,57.42%
14,GE210115C00017000,2020-06-17 9:54AM EDT,17.0,0.05,0.04,0.05,0.0,-,154,56425,56.64%
15,GE210115C00020000,2020-06-17 11:03AM EDT,20.0,0.04,0.03,0.04,-0.01,-20.00%,257,107012,62.50%
16,GE210115C00022000,2020-06-17 10:40AM EDT,22.0,0.04,0.03,0.04,0.01,+33.33%,226,7311,67.19%
17,GE210115C00025000,2020-06-17 10:27AM EDT,25.0,0.04,0.03,0.04,0.01,+33.33%,418,11288,73.05%
