,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,T200619C00015000,2020-06-11 9:30AM EDT,15.0,16.23,15.35,15.7,0.0,-,1,6,225.00%
1,T200619C00016000,2020-05-27 10:42AM EDT,16.0,15.85,14.4,14.7,0.0,-,-,0,226.56%
2,T200619C00017000,2020-05-18 12:11AM EDT,17.0,12.25,13.35,13.7,0.0,-,-,0,187.50%
3,T200619C00018000,2020-05-14 11:48AM EDT,18.0,10.0,12.4,12.7,0.0,-,20,0,189.06%
4,T200619C00019000,2020-06-01 2:43PM EDT,19.0,12.0,11.35,11.7,0.0,-,-,1,154.69%
5,T200619C00020000,2020-06-08 3:50PM EDT,20.0,13.15,10.35,10.7,0.0,-,100,333,140.63%
6,T200619C00021000,2020-05-21 3:23PM EDT,21.0,8.85,9.35,9.75,0.0,-,40,0,139.84%
7,T200619C00022000,2020-06-03 3:45PM EDT,22.0,9.55,8.3,8.75,0.0,-,2,44,111.72%
8,T200619C00023000,2020-06-08 9:30AM EDT,23.0,9.95,7.3,7.75,0.0,-,1,71,98.44%
9,T200619C00024000,2020-05-27 10:31AM EDT,24.0,7.83,6.25,6.85,0.0,-,1,8,95.70%
10,T200619C00025000,2020-06-10 11:01AM EDT,25.0,7.25,5.2,5.9,0.0,-,15,782,82.03%
11,T200619C00025500,2020-06-08 11:23AM EDT,25.5,7.35,4.7,5.4,0.0,-,11,11,75.00%
12,T200619C00026000,2020-06-12 10:59AM EDT,26.0,4.42,4.2,4.95,0.22,+5.24%,10,273,74.22%
13,T200619C00026500,2020-06-05 9:38AM EDT,26.5,6.0,3.7,4.45,0.0,-,1,274,67.19%
14,T200619C00027000,2020-06-12 3:58PM EDT,27.0,3.6,3.2,3.7,0.31,+9.42%,178,636,77.93%
15,T200619C00027500,2020-06-12 11:21AM EDT,27.5,2.86,2.64,3.45,-1.34,-31.90%,1,4,93.46%
16,T200619C00028000,2020-06-12 3:56PM EDT,28.0,2.6,2.43,2.72,0.28,+12.07%,56,4591,62.89%
17,T200619C00028500,2020-06-12 3:06PM EDT,28.5,2.05,1.67,2.62,0.14,+7.33%,5,131,85.94%
18,T200619C00029000,2020-06-12 3:40PM EDT,29.0,1.52,1.22,2.17,-0.04,-2.56%,404,5839,78.13%
19,T200619C00029500,2020-06-12 3:55PM EDT,29.5,1.31,1.16,1.41,0.21,+19.09%,159,1654,49.12%
20,T200619C00030000,2020-06-12 3:59PM EDT,30.0,0.96,0.88,1.0,0.12,+14.29%,820,15093,43.26%
21,T200619C00030500,2020-06-12 3:59PM EDT,30.5,0.66,0.59,0.7,0.08,+13.79%,1155,2338,41.60%
22,T200619C00031000,2020-06-12 3:59PM EDT,31.0,0.43,0.42,0.43,0.06,+16.22%,2993,16523,38.28%
23,T200619C00031500,2020-06-12 3:59PM EDT,31.5,0.28,0.26,0.28,0.02,+7.69%,3540,5748,38.77%
24,T200619C00032000,2020-06-12 3:59PM EDT,32.0,0.16,0.16,0.18,0.0,-,2819,22489,39.65%
25,T200619C00032500,2020-06-12 3:59PM EDT,32.5,0.11,0.1,0.14,0.02,+22.22%,1117,3182,43.36%
26,T200619C00033000,2020-06-12 3:59PM EDT,33.0,0.08,0.05,0.09,0.01,+14.29%,2202,14012,44.14%
27,T200619C00033500,2020-06-12 3:59PM EDT,33.5,0.04,0.04,0.05,-0.01,-20.00%,834,2398,43.75%
28,T200619C00034000,2020-06-12 3:59PM EDT,34.0,0.03,0.03,0.04,-0.01,-25.00%,816,15035,46.88%
29,T200619C00034500,2020-06-12 3:59PM EDT,34.5,0.03,0.01,0.03,0.01,+50.00%,161,973,49.22%
30,T200619C00035000,2020-06-12 3:57PM EDT,35.0,0.02,0.01,0.03,0.0,-,239,27324,50.00%
31,T200619C00035500,2020-06-12 3:34PM EDT,35.5,0.01,0.01,0.02,-0.01,-50.00%,23,561,51.56%
32,T200619C00036000,2020-06-11 2:55PM EDT,36.0,0.02,0.01,0.03,0.0,-,62,10417,58.59%
33,T200619C00036500,2020-06-11 1:31PM EDT,36.5,0.01,0.0,0.08,0.0,-,15,112,69.92%
34,T200619C00037000,2020-06-12 12:52PM EDT,37.0,0.01,0.01,0.02,-0.01,-50.00%,21,8192,64.06%
